"raw_case_name","source_x_mm","source_y_mm","source_z_mm","leak_rate_ml_min","case_id","data_index","data_dir","raw_file_count","selected_steps","frame_time_start","frame_time_end","raw_node_count","raw_u_min","raw_u_max","raw_v_min","raw_v_max","raw_w_min","raw_w_max","raw_total_bytes_selected","repaired_frame_count","repaired_frame_times","available_unique_frame_count","frame_selection_mode","ignored_downloading_count","discarded_duplicate_count","ignored_bad_name_count"
"0,-150,0,1000mlmin","0","-150","0","1000","case_0000","0","D:\BaiduNetdiskDownload\0,-150,0,1000mlmin","120","120","1.0","120.0","6164074","-0.5","0.5","-0.004999999888241291","0.800000011920929","-0.4000000059604645","0.4000000059604645","59175120000","","","","","","",""
"0,-150,0,100mlmin","0","-150","0","100","case_0001","1","F:\氢泄露\0,-150,0,100mlmin","120","120","1.0","120.0","6164074","-0.5","0.5","-0.004999999888241291","0.800000011920929","-0.4000000059604645","0.4000000059604645","59175120000","","","","","","",""
"0,-150,0,200mlmin","0","-150","0","200","case_0002","2","F:\氢泄露\0,-150,0,200mlmin","120","120","1.0","120.0","6164074","-0.5","0.5","-0.004999999888241291","0.800000011920929","-0.4000000059604645","0.4000000059604645","59175120000","","","","","","",""
"0,-150,0,400mlmin","0","-150","0","400","case_0003","3","F:\氢泄露\0,-150,0,400mlmin","120","120","1.0","120.0","6164074","-0.5","0.5","-0.004999999888241291","0.800000011920929","-0.4000000059604645","0.4000000059604645","59175120000","","","","","","",""
"0,-150,0,50mlmin","0","-150","0","50","case_0004","4","F:\氢泄露\0,-150,0,50mlmin","120","120","1.0","120.0","6164074","-0.5","0.5","-0.004999999888241291","0.800000011920929","-0.4000000059604645","0.4000000059604645","59175120000","","","","","","",""
"0,-150,0,600mlmin","0","-150","0","600","case_0005","5","F:\氢泄露\0,-150,0,600mlmin","120","120","1.0","120.0","6164074","-0.5","0.5","-0.004999999888241291","0.800000011920929","-0.4000000059604645","0.4000000059604645","59175120000","","","","","","",""
"0,-150,0,800mlmin","0","-150","0","800","case_0006","6","F:\氢泄露\0,-150,0,800mlmin","120","120","1.0","120.0","6164074","-0.5","0.5","-0.004999999888241291","0.800000011920929","-0.4000000059604645","0.4000000059604645","59175120000","0","","","","","",""
"100,0,0,1000mlmin","100","0","0","1000","case_0007","7","D:\BaiduNetdiskDownload\6,100,0,0-1000,800,600\100,0,0,1000mlmin","120","120","1.0","120.0","5116753","-0.5","0.5","-0.004999999888241291","0.800000011920929","-0.4000000059604645","0.4000000059604645","49120838400","0","","","","","",""
"100,0,0,600mlmin","100","0","0","600","case_0008","8","D:\BaiduNetdiskDownload\6,100,0,0-1000,800,600\100,0,0,600mlmin","120","120","1.0","120.0","4988820","-0.5","0.5","-0.004999999888241291","0.800000011920929","-0.4000000059604645","0.4000000059604645","47892681600","0","","","","","",""
"100,0,0,800mlmin","100","0","0","800","case_0009","9","D:\BaiduNetdiskDownload\6,100,0,0-1000,800,600\100,0,0,800mlmin","120","120","1.0","120.0","4988820","-0.5","0.5","-0.004999999888241291","0.800000011920929","-0.4000000059604645","0.4000000059604645","47892681600","0","","","","","",""
"200,-150,0,1000mlmin","200","-150","0","1000","case_0010","10","F:\氢泄露\200,-150,0,1000mlmin\all","120","120","1.0","120.0","5141417","-0.5","0.5","-0.004999999888241291","0.800000011920929","-0.4000000059604645","0.4000000059604645","49357612800","0","","","","","",""
"200,-150,0,400mlmin","200","-150","0","400","case_0011","11","F:\氢泄露\200,-150,0,400mlmin\all","120","120","1.0","120.0","5141417","-0.5","0.5","-0.004999999888241291","0.800000011920929","-0.4000000059604645","0.4000000059604645","49357612800","4","17;18;19;20","","","","",""
"200,-150,0,50mlmin","200","-150","0","50","case_0012","12","F:\氢泄露\200,-150,0,50mlmin\all","240","120","1.0","120.0","5141417","-0.5","0.5","-0.004999999888241291","0.800000011920929","-0.4000000059604645","0.4000000059604645","49357612800","0","","","","","",""
"200,-150,0,600mlmin","200","-150","0","600","case_0013","13","F:\氢泄露\200,-150,0,600mlmin\all","120","120","1.0","120.0","5141417","-0.5","0.5","-0.004999999888241291","0.800000011920929","-0.4000000059604645","0.4000000059604645","49357612800","0","","","","","",""
"200,-150,0,800mlmin","200","-150","0","800","case_0014","14","F:\氢泄露\200,-150,0,800mlmin\all","120","120","1.0","120.0","5141417","-0.5","0.5","-0.004999999888241291","0.800000011920929","-0.4000000059604645","0.4000000059604645","49357612800","0","","","","","",""
"200,-150,0,200mlmin","200","-150","0","200","case_0015","15","F:\氢泄露\200,-150,0,200mlmin","240","120","1.0","120.0","5141417","-0.5","0.5","-0.004999999888241291","0.800000011920929","-0.4000000059604645","0.4000000059604645","49357612800","0","","","","","",""
"6,200,-300,100","200","-300","0","100","case_0016","16","F:\氢泄露\6,200,-300,100\all","240","120","1.0","120.0","5155709","-0.5","0.5","-0.004999999888241291","0.800000011920929","-0.4000000059604645","0.4000000059604645","49494816000","4","18;26;28;29","240","integer_aligned","0","0","0"
"6,200,-300,1000","200","-300","0","1000","case_0017","17","F:\氢泄露\6,200,-300,1000\all","120","120","1.0","120.0","5155709","-0.5","0.5","-0.004999999888241291","0.800000011920929","-0.4000000059604645","0.4000000059604645","49494816000","0","","120","integer_aligned","0","0","0"
"6,200,-300,200","200","-300","0","200","case_0018","18","F:\氢泄露\6,200,-300,200\all","240","120","1.0","120.0","5155709","-0.5","0.5","-0.004999999888241291","0.800000011920929","-0.4000000059604645","0.4000000059604645","49494816000","5","18;19;20;21;22","240","integer_aligned","0","0","0"
"6,200,-300,400","200","-300","0","400","case_0019","19","F:\氢泄露\6,200,-300,400\all","120","120","1.0","120.0","5155709","-0.5","0.5","-0.004999999888241291","0.800000011920929","-0.4000000059604645","0.4000000059604645","49494816000","0","","120","integer_aligned","0","0","0"
"6,200,-300,50","200","-300","0","50","case_0020","20","F:\氢泄露\6,200,-300,50\all","240","120","1.0","120.0","5155709","-0.5","0.5","-0.004999999888241291","0.800000011920929","-0.4000000059604645","0.4000000059604645","49494816000","0","","240","integer_aligned","0","0","0"
"6,200,-300,600","200","-300","0","600","case_0021","21","F:\氢泄露\6,200,-300,600\600mlmin,0.59ms\all","120","120","1.0","120.0","5155709","-0.5","0.5","-0.004999999888241291","0.800000011920929","-0.4000000059604645","0.4000000059604645","49494816000","0","","120","integer_aligned","0","0","0"
"6,200,-300,800","200","-300","0","800","case_0022","22","F:\氢泄露\6,200,-300,800\all","120","120","1.0","120.0","5155709","-0.5","0.5","-0.004999999888241291","0.800000011920929","-0.4000000059604645","0.4000000059604645","49494816000","4","52;53;54;55","120","integer_aligned","0","0","0"
"6,200,-150,100","200","-150","0","100","case_0023","23","F:\氢泄露\6,200.-150,100\100mlmin,0.59ms\all","240","120","1.0","120.0","5141417","-0.5","0.5","-0.004999999888241291","0.800000011920929","-0.4000000059604645","0.4000000059604645","49357612800","5","64;65;66;67;68","240","integer_aligned","0","0","0"
"Q100-X300-Y0-Fraction","300","0","0","100","case_0024","24","E:\氢泄漏\Q100-X300-Y0-Fraction","240","120","1.0","120.0","6128350","-0.5","0.5","-0.004999999888241291","0.800000011920929","-0.4000000059604645","0.4000000059604645","58832169600","0","","240","integer_aligned","0","0","0"
"Q100-X400-Y0-Fraction","400","0","0","100","case_0025","25","E:\氢泄漏\Q100-X400-Y0-Fraction","240","120","1.0","120.0","6186987","-0.5","0.5","-0.004999999888241291","0.800000011920929","-0.4000000059604645","0.4000000059604645","59395084800","0","","240","integer_aligned","0","0","0"
"Q1000-X300-Y0-Fraction","300","0","0","1000","case_0026","26","E:\氢泄漏\Q1000-X300-Y0-Fraction","120","120","1.0","120.0","6128350","-0.5","0.5","-0.004999999888241291","0.800000011920929","-0.4000000059604645","0.4000000059604645","58832169600","0","","120","integer_aligned","0","0","0"
"Q1000-X400-Y0-Fraction","400","0","0","1000","case_0027","27","E:\氢泄漏\Q1000-X400-Y0-Fraction","120","120","1.0","120.0","6186987","-0.5","0.5","-0.004999999888241291","0.800000011920929","-0.4000000059604645","0.4000000059604645","59395084800","0","","120","integer_aligned","0","0","0"
"Q200-X300-Y0-Fraction","300","0","0","200","case_0028","28","E:\氢泄漏\Q200-X300-Y0-Fraction","240","120","1.0","120.0","6128350","-0.5","0.5","-0.004999999888241291","0.800000011920929","-0.4000000059604645","0.4000000059604645","58832169600","0","","240","integer_aligned","0","0","0"
"Q200-X400-Y0-Fraction","400","0","0","200","case_0029","29","E:\氢泄漏\Q200-X400-Y0-Fraction","240","120","1.0","120.0","6186987","-0.5","0.5","-0.004999999888241291","0.800000011920929","-0.4000000059604645","0.4000000059604645","59395084800","0","","240","integer_aligned","0","0","0"
"Q400-X300-Y0-Fraction","300","0","0","400","case_0030","30","E:\氢泄漏\Q400-X300-Y0-Fraction","120","120","1.0","120.0","6128350","-0.5","0.5","-0.004999999888241291","0.800000011920929","-0.4000000059604645","0.4000000059604645","58832169600","0","","120","integer_aligned","0","0","0"
"Q400-X400-Y0-Fraction","400","0","0","400","case_0031","31","E:\氢泄漏\Q400-X400-Y0-Fraction","120","120","1.0","120.0","6186987","-0.5","0.5","-0.004999999888241291","0.800000011920929","-0.4000000059604645","0.4000000059604645","59395084800","0","","120","integer_aligned","0","0","0"
"Q50-X300-Y0-Fraction","300","0","0","50","case_0032","32","E:\氢泄漏\Q50-X300-Y0-Fraction","240","120","1.0","120.0","6128350","-0.5","0.5","-0.004999999888241291","0.800000011920929","-0.4000000059604645","0.4000000059604645","58832169600","0","","240","integer_aligned","0","0","0"
"Q50-X400-Y0-Fraction","400","0","0","50","case_0033","33","E:\氢泄漏\Q50-X400-Y0-Fraction","240","120","1.0","120.0","6186987","-0.5","0.5","-0.004999999888241291","0.800000011920929","-0.4000000059604645","0.4000000059604645","59395084800","0","","240","integer_aligned","0","0","0"
"Q600-X300-Y0-Fraction","300","0","0","600","case_0034","34","E:\氢泄漏\Q600-X300-Y0-Fraction","240","120","1.0","120.0","6128350","-0.5","0.5","-0.004999999888241291","0.800000011920929","-0.4000000059604645","0.4000000059604645","58832169600","0","","240","integer_aligned","0","0","0"
"Q600-X400-Y0-Fraction","400","0","0","600","case_0035","35","E:\氢泄漏\Q600-X400-Y0-Fraction","120","120","1.0","120.0","6186987","-0.5","0.5","-0.004999999888241291","0.800000011920929","-0.4000000059604645","0.4000000059604645","59395084800","0","","120","integer_aligned","0","0","0"
"Q800-X300-Y0-Fraction","300","0","0","800","case_0036","36","E:\氢泄漏\Q800-X300-Y0-Fraction","120","120","1.0","120.0","6128350","-0.5","0.5","-0.004999999888241291","0.800000011920929","-0.4000000059604645","0.4000000059604645","58832169600","0","","120","integer_aligned","0","0","0"
"Q800-X400-Y0-Fraction","400","0","0","800","case_0037","37","E:\氢泄漏\Q800-X400-Y0-Fraction","120","120","1.0","120.0","6186987","-0.5","0.5","-0.004999999888241291","0.800000011920929","-0.4000000059604645","0.4000000059604645","59395084800","0","","120","integer_aligned","0","0","0"
"6,0,0,0,100","0","0","0","100","case_0038","38","E:\氢泄漏\6,0,0,0,100","350","120","1.0","120.0","5285674","-0.5","0.5","-0.004999999888241291","0.800000011920929","-0.4000000059604645","0.4000000059604645","50742480000","0","","350","integer_aligned","0","0","0"
"6,0,0,0,200","0","0","0","200","case_0039","39","E:\氢泄漏\6,0,0,0,200","240","120","1.0","120.0","5285674","-0.5","0.5","-0.004999999888241291","0.800000011920929","-0.4000000059604645","0.4000000059604645","50742480000","0","","240","integer_aligned","0","0","0"
"6,0,0,0,50","0","0","0","50","case_0040","40","E:\氢泄漏\6,0,0,0,50","350","120","1.0","120.0","5285674","-0.5","0.5","-0.004999999888241291","0.800000011920929","-0.4000000059604645","0.4000000059604645","50742480000","0","","350","integer_aligned","0","0","0"
"6,0,0,0,400","0","0","0","400","case_0041","41","E:\氢泄漏\6,0,0,0,400","120","120","1.0","120.0","5285674","-0.5","0.5","-0.004999999888241291","0.800000011920929","-0.4000000059604645","0.4000000059604645","50742480000","0","","120","integer_aligned","0","0","0"
"6,0,0,0,600","0","0","0","600","case_0042","42","E:\氢泄漏\6,0,0,0,600","120","120","1.0","120.0","5285674","-0.5","0.5","-0.004999999888241291","0.800000011920929","-0.4000000059604645","0.4000000059604645","50742480000","0","","120","integer_aligned","0","0","0"
"6,0,0,0,800","0","0","0","800","case_0043","43","E:\氢泄漏\6,0,0,0,800","120","120","1.0","120.0","5285674","-0.5","0.5","-0.004999999888241291","0.800000011920929","-0.4000000059604645","0.4000000059604645","50742480000","0","","120","integer_aligned","0","0","0"
"6,0,0,0,1000","0","0","0","1000","case_0044","44","E:\氢泄漏\6,0,0,0,1000","126","120","1.0","120.0","5285674","-0.5","0.5","-0.004999999888241291","0.800000011920929","-0.4000000059604645","0.4000000059604645","50742480000","0","","126","integer_aligned","0","0","0"
"6,0,100,0,100","100","0","0","100","case_0045","45","F:\AI反演_CFD计算\6,0,100,0,100\6,0,100,0,100","242","120","1.0","120.0","198565","-0.5","0.5","-0.4000000059604645","0.4000000059604645","-0.4000000059604645","0.4000000059604645","1906233600","0","","240","integer_aligned","0","0","2"
"6,0,100,0,50","100","0","0","50","case_0046","46","F:\AI反演_CFD计算\6,0,100,0,50\6,0,100,0,50","242","120","1.0","120.0","198565","-0.5","0.5","-0.4000000059604645","0.4000000059604645","-0.4000000059604645","0.4000000059604645","1906233600","0","","240","integer_aligned","0","0","2"
"6,0,100,0,200","100","0","0","200","case_0047","47","F:\AI反演_CFD计算\6,0,100,0,200\6,0,100,0,200","242","120","1.0","120.0","198565","-0.5","0.5","-0.4000000059604645","0.4000000059604645","-0.4000000059604645","0.4000000059604645","1906233600","0","","240","integer_aligned","0","0","2"
"6,0,100,0,400","100","0","0","400","case_0048","48","F:\AI反演_CFD计算\6,0,100,0,400\6,0,100,0,400","122","120","1.0","120.0","174808","-0.5","0.5","-0.4000000059604645","0.4000000059604645","-0.4000000059604645","0.4000000059604645","1678166400","0","","120","integer_aligned","0","0","2"
"6,0,200,0,100","200","0","0","100","case_0049","49","F:\AI反演_CFD计算\6,0,200,0,100\6,0,200,0,100","242","120","1.0","120.0","5229719","-0.5","0.5","-0.4000000059604645","0.4000000059604645","-0.4000000059604645","0.4000000059604645","50205312000","0","","240","integer_aligned","0","0","2"
"6,0,200,0,200","200","0","0","200","case_0050","50","F:\AI反演_CFD计算\6,0,200,0,200\6,0,200,0,200","242","120","1.0","120.0","5229719","-0.5","0.5","-0.4000000059604645","0.4000000059604645","-0.4000000059604645","0.4000000059604645","50205312000","0","","240","integer_aligned","0","0","2"
"6,0,200,0,50","200","0","0","50","case_0051","51","F:\AI反演_CFD计算\6,0,200,0,50\6,0,200,0,50","242","120","1.0","120.0","5229719","-0.5","0.5","-0.4000000059604645","0.4000000059604645","-0.4000000059604645","0.4000000059604645","50205312000","0","","240","integer_aligned","0","0","2"
"6,0,200,0,400","200","0","0","400","case_0052","52","F:\AI反演_CFD计算\6,0,200,0,400\6,0,200,0,400","122","120","1.0","120.0","5229719","-0.5","0.5","-0.4000000059604645","0.4000000059604645","-0.4000000059604645","0.4000000059604645","50205312000","0","","120","integer_aligned","0","0","2"
"6,0,200,0,600","200","0","0","600","case_0053","53","F:\AI反演_CFD计算\6,0,200,0,600\6,0,200,0,600","122","120","1.0","120.0","5229719","-0.5","0.5","-0.4000000059604645","0.4000000059604645","-0.4000000059604645","0.4000000059604645","50205312000","0","","120","integer_aligned","0","0","2"
"6,0,200,0,1000","200","0","0","1000","case_0054","54","F:\AI反演_CFD计算\6,0,200,0,1000\6,0,200,0,1000","121","120","1.0","120.0","5229719","-0.5","0.5","-0.4000000059604645","0.4000000059604645","-0.4000000059604645","0.4000000059604645","50205312000","0","","120","integer_aligned","0","0","1"
"6,0,200,0,800","200","0","0","800","case_0055","55","F:\AI反演_CFD计算\6,0,200,0,800\6,0,200,0,800","122","120","1.0","120.0","5229719","-0.5","0.5","-0.4000000059604645","0.4000000059604645","-0.4000000059604645","0.4000000059604645","50205312000","0","","120","integer_aligned","0","0","2"
