raw_case_name,source_x_mm,source_y_mm,source_z_mm,leak_rate_ml_min,case_id,data_index,data_dir,raw_file_count,selected_steps,frame_time_start,frame_time_end,raw_node_count,raw_u_min,raw_u_max,raw_v_min,raw_v_max,raw_w_min,raw_w_max,raw_total_bytes_selected,repaired_frame_count,repaired_frame_times,available_unique_frame_count,frame_selection_mode,ignored_downloading_count,discarded_duplicate_count,ignored_bad_name_count,pred_source_x_m,pred_source_y_m,pred_source_z_m,source_l2_error_m,source_l2_error_mm,feature_source_strength,feature_strength,feature_peak,feature_score_peak,feature_mass_slope_early,feature_mass_mean_early,feature_mass_last,feature_arrival_time_fraction,pred_leak_rate_ml_min,leak_rate_abs_error_ml_min,leak_rate_rel_error
"0,-150,0,1000mlmin",0,-150,0,1000.0,case_0000,0,"D:\BaiduNetdiskDownload\0,-150,0,1000mlmin",120,120,1.0,120.0,6164074,-0.5,0.5,-0.004999999888241291,0.800000011920929,-0.4000000059604645,0.4000000059604645,59175120000,,,,,,,,0.00018134180373446072,0.0036558759679321796,-0.14942770791877757,0.0037048390206479427,3.7048390206479427,0.001619721002643928,0.001619721002643928,0.014361065812408924,0.0133997343480587,1.7715104468491304e-05,5.2994411431010234e-05,0.002119190052284642,0.0,999.2127659872037,0.7872340127962616,0.0007872340127962616
"0,-150,0,100mlmin",0,-150,0,100.0,case_0001,1,"F:\氢泄露\0,-150,0,100mlmin",120,120,1.0,120.0,6164074,-0.5,0.5,-0.004999999888241291,0.800000011920929,-0.4000000059604645,0.4000000059604645,59175120000,,,,,,,,2.0687602551866177e-05,0.003784518653778408,-0.14945014804547177,0.0038243099494673,3.8243099494673,0.00016304782015504315,0.00016304782015504315,0.0014548131730407476,0.0013433786341920495,1.793878887404377e-06,5.095542512152875e-06,0.0002157833096293262,0.0,103.96776047131586,3.967760471315856,0.03967760471315856
"0,-150,0,200mlmin",0,-150,0,200.0,case_0002,2,"F:\氢泄露\0,-150,0,200mlmin",120,120,1.0,120.0,6164074,-0.5,0.5,-0.004999999888241291,0.800000011920929,-0.4000000059604645,0.4000000059604645,59175120000,,,,,,,,0.00015427834312149724,0.0037721627587966266,-0.14943045820904666,0.0038180350362000117,3.818035036200012,0.0003555102000342837,0.0003555102000342837,0.003150197211652994,0.0029192923568189142,3.894994359186992e-06,1.1602272797302981e-05,0.0004680852748398271,0.0,222.1124704812358,22.11247048123579,0.11056235240617894
"0,-150,0,400mlmin",0,-150,0,400.0,case_0003,3,"F:\氢泄露\0,-150,0,400mlmin",120,120,1.0,120.0,6164074,-0.5,0.5,-0.004999999888241291,0.800000011920929,-0.4000000059604645,0.4000000059604645,59175120000,,,,,,,,0.00015430053437071045,0.0037641504695714086,-0.149434510286711,0.0038095165084715676,3.8095165084715674,0.0006592418574922097,0.0006592418574922097,0.005829653702676296,0.005422409903258085,7.1942811713827796e-06,2.144829972572725e-05,0.0008632388899022698,0.0,407.62785836448256,7.627858364482563,0.01906964591120641
"0,-150,0,50mlmin",0,-150,0,50.0,case_0004,4,"F:\氢泄露\0,-150,0,50mlmin",120,120,1.0,120.0,6164074,-0.5,0.5,-0.004999999888241291,0.800000011920929,-0.4000000059604645,0.4000000059604645,59175120000,,,,,,,,0.000573285398717845,0.003515056787956176,-0.14957250682191753,0.0035870643691251086,3.5870643691251085,9.388984350759225e-05,9.388984350759225e-05,0.0009213625453412533,0.0007752276374958456,8.464693927908952e-07,2.255228733979347e-06,0.00010748711899059183,0.0,50.673081713070985,0.6730817130709852,0.013461634261419704
"0,-150,0,600mlmin",0,-150,0,600.0,case_0005,5,"F:\氢泄露\0,-150,0,600mlmin",120,120,1.0,120.0,6164074,-0.5,0.5,-0.004999999888241291,0.800000011920929,-0.4000000059604645,0.4000000059604645,59175120000,,,,,,,,0.00015913127482693884,0.0037574201362628977,-0.1494016249232611,0.003808094218304509,3.8080942183045092,0.0009590635246131568,0.0009590635246131568,0.008500974625349045,0.007904633414000273,1.0509017685673107e-05,3.137908232517874e-05,0.0012588935195544998,0.0,594.0187131841392,5.981286815860813,0.00996881135976802
"0,-150,0,800mlmin",0,-150,0,800.0,case_0006,6,"F:\氢泄露\0,-150,0,800mlmin",120,120,1.0,120.0,6164074,-0.5,0.5,-0.004999999888241291,0.800000011920929,-0.4000000059604645,0.4000000059604645,59175120000,0,,,,,,,0.00013253098824016034,0.003762519903691867,-0.14945522092331648,0.003804064238536662,3.804064238536662,0.0012881990843064462,0.0012881990843064462,0.011395123787224293,0.010610838234424592,1.4116350081593899e-05,4.2193363321963634e-05,0.0016891980781549945,0.0,796.8589149786011,3.141085021398908,0.003926356276748635
"100,0,0,1000mlmin",100,0,0,1000.0,case_0007,7,"D:\BaiduNetdiskDownload\6,100,0,0-1000,800,600\100,0,0,1000mlmin",120,120,1.0,120.0,5116753,-0.5,0.5,-0.004999999888241291,0.800000011920929,-0.4000000059604645,0.4000000059604645,49120838400,0,,,,,,,0.098576622725816,0.002309393581602463,0.0003141572047829985,0.002730933234029574,2.7309332340295738,0.0018443964580073953,0.0018443964580073953,0.02560291811823845,0.02434217594563961,1.7707940925329572e-05,5.3042488067364205e-05,0.0021107677753437228,0.0,998.5248648258158,1.4751351741841745,0.0014751351741841745
"100,0,0,600mlmin",100,0,0,600.0,case_0008,8,"D:\BaiduNetdiskDownload\6,100,0,0-1000,800,600\100,0,0,600mlmin",120,120,1.0,120.0,4988820,-0.5,0.5,-0.004999999888241291,0.800000011920929,-0.4000000059604645,0.4000000059604645,47892681600,0,,,,,,,0.09838638103125961,0.0019878077539469408,-0.0005069036737507995,0.002609999459270526,2.6099994592705262,0.0011087930915333953,0.0011087930915333953,0.015537616796791553,0.014669950120151043,1.0624401397876866e-05,3.176532759474348e-05,0.0012713402348743339,0.0,600.3306123898567,0.3306123898566966,0.000551020649761161
"100,0,0,800mlmin",100,0,0,800.0,case_0009,9,"D:\BaiduNetdiskDownload\6,100,0,0-1000,800,600\100,0,0,800mlmin",120,120,1.0,120.0,4988820,-0.5,0.5,-0.004999999888241291,0.800000011920929,-0.4000000059604645,0.4000000059604645,47892681600,0,,,,,,,0.09826250477572966,0.0018976861928096977,-0.0005264114096695735,0.0026262542742417623,2.6262542742417625,0.001492665988703569,0.001492665988703569,0.021215423941612244,0.019865060597658156,1.4168305544602459e-05,4.2416079602786726e-05,0.0016888370884659929,0.0,799.5276673600276,0.47233263997236463,0.0005904157999654558
"200,-150,0,1000mlmin",200,-150,0,1000.0,case_0010,10,"F:\氢泄露\200,-150,0,1000mlmin\all",120,120,1.0,120.0,5141417,-0.5,0.5,-0.004999999888241291,0.800000011920929,-0.4000000059604645,0.4000000059604645,49357612800,0,,,,,,,0.20212766528129578,0.0,-0.14600713066480936,0.004524374550933763,4.524374550933763,0.0029407386408808332,0.0029407386408808332,0.11229019612073898,0.1030954122543335,1.7746968225940943e-05,4.524741558239698e-05,0.002108421987216712,0.0,999.3367383343387,0.6632616656612527,0.0006632616656612526
"200,-150,0,400mlmin",200,-150,0,400.0,case_0011,11,"F:\氢泄露\200,-150,0,400mlmin\all",120,120,1.0,120.0,5141417,-0.5,0.5,-0.004999999888241291,0.800000011920929,-0.4000000059604645,0.4000000059604645,49357612800,4,17;18;19;20,,,,,,0.20212766528129578,0.0,-0.14656989273473175,0.004036408725646766,4.036408725646766,0.0009658661357049522,0.0009658661357049522,0.028713565319776535,0.027890768274664877,7.065676581396681e-06,1.8007820958992453e-05,0.0008462442335190543,0.0,399.99362622199436,0.006373778005638542,1.5934445014096354e-05
"200,-150,0,50mlmin",200,-150,0,50.0,case_0012,12,"F:\氢泄露\200,-150,0,50mlmin\all",240,120,1.0,120.0,5141417,-0.5,0.5,-0.004999999888241291,0.800000011920929,-0.4000000059604645,0.4000000059604645,49357612800,0,,,,,,,0.20212766528129578,0.0,-0.14662294214960808,0.0039914257194798245,3.9914257194798246,0.00013325094298731222,0.00013325094298731222,0.004618867300450802,0.0037494527641683817,8.596308657629193e-07,2.601803056983595e-06,0.00010622723608768983,0.0,51.364869121832854,1.3648691218328537,0.027297382436657074
"200,-150,0,600mlmin",200,-150,0,600.0,case_0013,13,"F:\氢泄露\200,-150,0,600mlmin\all",120,120,1.0,120.0,5141417,-0.5,0.5,-0.004999999888241291,0.800000011920929,-0.4000000059604645,0.4000000059604645,49357612800,0,,,,,,,0.20212766528129578,0.0,-0.14642842136278678,0.0041572988238794215,4.1572988238794215,0.0015104357974293331,0.0015104357974293331,0.05027014762163162,0.045695186406373975,1.0594677164816919e-05,2.7007098502700938e-05,0.0012682804855209287,0.0,598.1476137854647,1.8523862145352723,0.003087310357558787
"200,-150,0,800mlmin",200,-150,0,800.0,case_0014,14,"F:\氢泄露\200,-150,0,800mlmin\all",120,120,1.0,120.0,5141417,-0.5,0.5,-0.004999999888241291,0.800000011920929,-0.4000000059604645,0.4000000059604645,49357612800,0,,,,,,,0.20212766528129592,0.0,-0.14626564363388178,0.004297950327586349,4.297950327586348,0.0021703047624323517,0.0021703047624323517,0.07195532321929932,0.06923964321613311,1.4169136439898196e-05,3.6106597620770236e-05,0.0016892468118003651,0.0,798.7171088681495,1.2828911318505334,0.0016036139148131667
"200,-150,0,200mlmin",200,-150,0,200.0,case_0015,15,"F:\氢泄露\200,-150,0,200mlmin",240,120,1.0,120.0,5141417,-0.5,0.5,-0.004999999888241291,0.800000011920929,-0.4000000059604645,0.4000000059604645,49357612800,0,,,,,,,0.20212766528129578,0.0,-0.14662506328031316,0.0039896312374857286,3.9896312374857286,0.0004585605859271407,0.0004585605859271407,0.013865348882973194,0.01297313254326582,3.5311170600034004e-06,9.082415871158977e-06,0.0004235637136045914,0.0,201.47926995488447,1.4792699548844723,0.007396349774422361
"6,200,-300,100",200,-300,0,100.0,case_0016,16,"F:\氢泄露\6,200,-300,100\all",240,120,1.0,120.0,5155709,-0.5,0.5,-0.004999999888241291,0.800000011920929,-0.4000000059604645,0.4000000059604645,49494816000,4,18;26;28;29,240,integer_aligned,0,0,0,0.20212766528129578,0.0,-0.2978723347187042,0.0030089730969988376,3.0089730969988375,0.001347519936893756,0.001347519936893756,0.09241610765457153,0.08545788675546646,1.787498743849579e-06,5.1712559651213715e-06,0.00021477797174346942,0.0,102.10962722917739,2.1096272291773914,0.021096272291773913
"6,200,-300,1000",200,-300,0,1000.0,case_0017,17,"F:\氢泄露\6,200,-300,1000\all",120,120,1.0,120.0,5155709,-0.5,0.5,-0.004999999888241291,0.800000011920929,-0.4000000059604645,0.4000000059604645,49494816000,0,,120,integer_aligned,0,0,0,0.20212766528129578,0.0,-0.2978723347187042,0.0030089730969988376,3.0089730969988375,0.014370565149855486,0.014370565149855486,0.9546438455581665,0.9207924962043762,1.7927464215122806e-05,5.073792914375124e-05,0.002142280292717371,0.0,995.0453867324113,4.954613267588684,0.004954613267588684
"6,200,-300,200",200,-300,0,200.0,case_0018,18,"F:\氢泄露\6,200,-300,200\all",240,120,1.0,120.0,5155709,-0.5,0.5,-0.004999999888241291,0.800000011920929,-0.4000000059604645,0.4000000059604645,49494816000,5,18;19;20;21;22,240,integer_aligned,0,0,0,0.20212766528129578,0.0,-0.2978723347187042,0.0030089730969988376,3.0089730969988375,0.0024644996858163115,0.0024644996858163115,0.16562819480895996,0.15667440891265869,3.561268745947594e-06,1.0037249400305794e-05,0.0004284341384717415,0.0,200.64018494544493,0.6401849454449291,0.0032009247272246455
"6,200,-300,400",200,-300,0,400.0,case_0019,19,"F:\氢泄露\6,200,-300,400\all",120,120,1.0,120.0,5155709,-0.5,0.5,-0.004999999888241291,0.800000011920929,-0.4000000059604645,0.4000000059604645,49494816000,0,,120,integer_aligned,0,0,0,0.20212766528129578,0.0,-0.2978723347187042,0.0030089730969988376,3.0089730969988375,0.0062185791612913216,0.0062185791612913216,0.523065984249115,0.40754932165145874,7.276082331077061e-06,2.0505360852243432e-05,0.0008541127724132052,0.0,405.20308305855906,5.203083058559059,0.013007707646397648
"6,200,-300,50",200,-300,0,50.0,case_0020,20,"F:\氢泄露\6,200,-300,50\all",240,120,1.0,120.0,5155709,-0.5,0.5,-0.004999999888241291,0.800000011920929,-0.4000000059604645,0.4000000059604645,49494816000,0,,240,integer_aligned,0,0,0,0.20212766528129578,0.0,-0.2978723347187042,0.0030089730969988376,3.0089730969988375,0.0007128512527657828,0.0007128512527657828,0.04965934157371521,0.04544486626982689,8.667917640497766e-07,2.6378342742376605e-06,0.0001086079126120382,0.0,51.03501944782586,1.03501944782586,0.020700388956517202
"6,200,-300,600",200,-300,0,600.0,case_0021,21,"F:\氢泄露\6,200,-300,600\600mlmin,0.59ms\all",120,120,1.0,120.0,5155709,-0.5,0.5,-0.004999999888241291,0.800000011920929,-0.4000000059604645,0.4000000059604645,49494816000,0,,120,integer_aligned,0,0,0,0.20212766528129578,0.0,-0.2978723347187042,0.0030089730969988376,3.0089730969988375,0.009451760319837677,0.009451760319837677,0.6936273574829102,0.6189090967178345,1.0803941710342704e-05,3.0783676437468274e-05,0.0012837052500464722,0.0,599.891030392707,0.10896960729303373,0.0001816160121550562
"6,200,-300,800",200,-300,0,800.0,case_0022,22,"F:\氢泄露\6,200,-300,800\all",120,120,1.0,120.0,5155709,-0.5,0.5,-0.004999999888241291,0.800000011920929,-0.4000000059604645,0.4000000059604645,49494816000,4,52;53;54;55,120,integer_aligned,0,0,0,0.20212766528129578,0.0,-0.2978723347187042,0.0030089730969988376,3.0089730969988375,0.013309196353191513,0.013309196353191513,0.9351868629455566,0.8726490020751954,1.4490899296274796e-05,4.144289770724443e-05,0.001714258709624626,0.0,802.7535998554117,2.7535998554117214,0.0034419998192646516
"6,200,-150,100",200,-150,0,100.0,case_0023,23,"F:\氢泄露\6,200.-150,100\100mlmin,0.59ms\all",240,120,1.0,120.0,5141417,-0.5,0.5,-0.004999999888241291,0.800000011920929,-0.4000000059604645,0.4000000059604645,49357612800,5,64;65;66;67;68,240,integer_aligned,0,0,0,0.20212766528129578,0.0,-0.14664662752541324,0.003971406111511068,3.971406111511068,0.00024847236049633164,0.00024847236049633164,0.007239603903144598,0.00688965916633606,1.765646075751299e-06,4.637698587578914e-06,0.00021212279698038018,0.0,102.26888847161918,2.268888471619178,0.02268888471619178
Q100-X300-Y0-Fraction,300,0,0,100.0,case_0024,24,E:\氢泄漏\Q100-X300-Y0-Fraction,240,120,1.0,120.0,6128350,-0.5,0.5,-0.004999999888241291,0.800000011920929,-0.4000000059604645,0.4000000059604645,58832169600,0,,240,integer_aligned,0,0,0,0.30180506419491243,0.004261171345032377,-0.0006015440944632904,0.004666657613009937,4.666657613009938,0.00017662972390341264,0.00017662972390341264,0.0015355483628809452,0.0014493165537714959,1.7662139037413604e-06,4.603760992465744e-06,0.00021195416911132681,0.0,102.39178114693368,2.391781146933681,0.023917811469336813
Q100-X400-Y0-Fraction,400,0,0,100.0,case_0025,25,E:\氢泄漏\Q100-X400-Y0-Fraction,240,120,1.0,120.0,6186987,-0.5,0.5,-0.004999999888241291,0.800000011920929,-0.4000000059604645,0.4000000059604645,59395084800,0,,240,integer_aligned,0,0,0,0.39853780614628087,0.003048478596272141,0.00027617064717555713,0.003392271045206263,3.3922710452062628,0.0002231294551650838,0.0002231294551650838,0.0022311913780868053,0.0020471733063459397,1.7685233518593287e-06,4.613019952908895e-06,0.00021213789502426653,0.0,102.46307464073017,2.46307464073017,0.0246307464073017
Q1000-X300-Y0-Fraction,300,0,0,1000.0,case_0026,26,E:\氢泄漏\Q1000-X300-Y0-Fraction,120,120,1.0,120.0,6128350,-0.5,0.5,-0.004999999888241291,0.800000011920929,-0.4000000059604645,0.4000000059604645,58832169600,0,,120,integer_aligned,0,0,0,0.30209969303824946,0.00392253130053085,-0.0005708266741323541,0.004485622114090592,4.485622114090592,0.001822208957669015,0.001822208957669015,0.016393272206187248,0.015405127964913844,1.7731211039857787e-05,5.265986248850262e-05,0.0021184339648479024,0.0,999.8641015737534,0.1358984262466265,0.0001358984262466265
Q1000-X400-Y0-Fraction,400,0,0,1000.0,case_0027,27,E:\氢泄漏\Q1000-X400-Y0-Fraction,120,120,1.0,120.0,6186987,-0.5,0.5,-0.004999999888241291,0.800000011920929,-0.4000000059604645,0.4000000059604645,59395084800,0,,120,integer_aligned,0,0,0,0.398381073168725,0.0029464103315325284,0.00019687175063713876,0.003367642560157285,3.367642560157285,0.0023376537108172977,0.0023376537108172977,0.023525703698396683,0.022026040777564048,1.77577118697276e-05,4.5135656226417153e-05,0.0021136840340318973,0.0,1000.7051405229773,0.7051405229773309,0.0007051405229773309
Q200-X300-Y0-Fraction,300,0,0,200.0,case_0028,28,E:\氢泄漏\Q200-X300-Y0-Fraction,240,120,1.0,120.0,6128350,-0.5,0.5,-0.004999999888241291,0.800000011920929,-0.4000000059604645,0.4000000059604645,58832169600,0,,240,integer_aligned,0,0,0,0.3019136014979524,0.003955431125217482,-0.0006282066590936469,0.004438687833789898,4.438687833789898,0.00032659481634618714,0.00032659481634618714,0.0029698917642235756,0.0027189726009964944,3.5324366093366596e-06,9.027461420481452e-06,0.0004236804715515358,0.0,201.72058886876297,1.7205888687629738,0.008602944343814868
Q200-X400-Y0-Fraction,400,0,0,200.0,case_0029,29,E:\氢泄漏\Q200-X400-Y0-Fraction,240,120,1.0,120.0,6186987,-0.5,0.5,-0.004999999888241291,0.800000011920929,-0.4000000059604645,0.4000000059604645,59395084800,0,,240,integer_aligned,0,0,0,0.39846693815687273,0.0030424182490716217,0.00042272994612278965,0.0034329707287545958,3.432970728754596,0.00042029817181173714,0.00042029817181173714,0.0043509178794920444,0.003898540651425719,3.537031646616545e-06,9.079398508400211e-06,0.00042404578575128425,0.0,201.86094092014642,1.8609409201464189,0.009304704600732095
Q400-X300-Y0-Fraction,300,0,0,400.0,case_0030,30,E:\氢泄漏\Q400-X300-Y0-Fraction,120,120,1.0,120.0,6128350,-0.5,0.5,-0.004999999888241291,0.800000011920929,-0.4000000059604645,0.4000000059604645,58832169600,0,,120,integer_aligned,0,0,0,0.30205742679292835,0.004048293346831727,-0.0004837558172151677,0.0045668045415751075,4.566804541575108,0.0006730447468774704,0.0006730447468774704,0.006075073964893818,0.005619130283594132,7.070842762062776e-06,1.7964393982458534e-05,0.0008465180315737328,0.0,400.65520612242864,0.6552061224286376,0.0016380153060715941
Q400-X400-Y0-Fraction,400,0,0,400.0,case_0031,31,E:\氢泄漏\Q400-X400-Y0-Fraction,120,120,1.0,120.0,6186987,-0.5,0.5,-0.004999999888241291,0.800000011920929,-0.4000000059604645,0.4000000059604645,59395084800,0,,120,integer_aligned,0,0,0,0.3984529516216583,0.003030455739238123,0.00043316002989618983,0.003429963306496261,3.429963306496261,0.000879617772026298,0.000879617772026298,0.00907248817384243,0.008197904843837023,7.083614375633447e-06,1.8031507693605415e-05,0.0008470711682962845,0.0,401.113463537519,1.11346353751901,0.002783658843797525
Q50-X300-Y0-Fraction,300,0,0,50.0,case_0032,32,E:\氢泄漏\Q50-X300-Y0-Fraction,240,120,1.0,120.0,6128350,-0.5,0.5,-0.004999999888241291,0.800000011920929,-0.4000000059604645,0.4000000059604645,58832169600,0,,240,integer_aligned,0,0,0,0.3021933074285187,0.003740736641438427,-0.0010567726195947497,0.004463236097958576,4.463236097958576,3.580818155993863e-05,3.580818155993863e-05,0.0008233448024839163,0.00032550780742894857,1.099214111331675e-07,4.31729177454326e-07,6.334261100698206e-06,0.0,9.245468001157692,40.75453199884231,0.8150906399768462
Q50-X400-Y0-Fraction,400,0,0,50.0,case_0033,33,E:\氢泄漏\Q50-X400-Y0-Fraction,240,120,1.0,120.0,6186987,-0.5,0.5,-0.004999999888241291,0.800000011920929,-0.4000000059604645,0.4000000059604645,59395084800,0,,240,integer_aligned,0,0,0,0.398172450806386,0.002971702128667834,0.0005990815968608572,0.0035397525840523743,3.5397525840523745,0.00011728267343035744,0.00011728267343035744,0.0012462728191167116,0.0010860262671485543,8.091989276025516e-07,2.226495354273494e-06,0.00010519163754945486,0.0,48.54346438007946,1.4565356199205368,0.029130712398410738
Q600-X300-Y0-Fraction,300,0,0,600.0,case_0034,34,E:\氢泄漏\Q600-X300-Y0-Fraction,240,120,1.0,120.0,6128350,-0.5,0.5,-0.004999999888241291,0.800000011920929,-0.4000000059604645,0.4000000059604645,58832169600,0,,240,integer_aligned,0,0,0,0.3020702233964707,0.0040231592271851475,-0.0004703983027411051,0.00454894599240324,4.54894599240324,0.001033023415210967,0.001033023415210967,0.00927676446735859,0.008662337996065616,1.0612367732867568e-05,2.6935869738343288e-05,0.0012690075760600152,0.0,599.7484373726916,0.2515626273084308,0.0004192710455140514
Q600-X400-Y0-Fraction,400,0,0,600.0,case_0035,35,E:\氢泄漏\Q600-X400-Y0-Fraction,120,120,1.0,120.0,6186987,-0.5,0.5,-0.004999999888241291,0.800000011920929,-0.4000000059604645,0.4000000059604645,59395084800,0,,120,integer_aligned,0,0,0,0.3983061400148415,0.0029798719157315442,0.000372299845004127,0.003447811691214724,3.4478116912147243,0.0013365652182449896,0.0013365652182449896,0.013646985404193401,0.012582368589937687,1.063021561426295e-05,2.7021861575592647e-05,0.001269828317171697,0.0,600.3700304306203,0.37003043062031793,0.0006167173843671965
Q800-X300-Y0-Fraction,300,0,0,800.0,case_0036,36,E:\氢泄漏\Q800-X300-Y0-Fraction,120,120,1.0,120.0,6128350,-0.5,0.5,-0.004999999888241291,0.800000011920929,-0.4000000059604645,0.4000000059604645,58832169600,0,,120,integer_aligned,0,0,0,0.3020195828390792,0.004063082519048078,-0.0005362342306669873,0.004568905946792552,4.568905946792552,0.0014290122927632183,0.0014290122927632183,0.012674114666879177,0.011930822022259235,1.4172203009365738e-05,3.598207485395185e-05,0.0016899364723498816,0.0,799.8278088231056,0.17219117689444374,0.00021523897111805468
Q800-X400-Y0-Fraction,400,0,0,800.0,case_0037,37,E:\氢泄漏\Q800-X400-Y0-Fraction,120,120,1.0,120.0,6186987,-0.5,0.5,-0.004999999888241291,0.800000011920929,-0.4000000059604645,0.4000000059604645,59395084800,0,,120,integer_aligned,0,0,0,0.3984132665806682,0.002976709535909473,0.00017832665207632818,0.003377916961685045,3.377916961685045,0.001853795260268574,0.001853795260268574,0.01870890147984028,0.017346620559692383,1.4196328859810132e-05,3.608551590653737e-05,0.0016920890137245247,0.0,800.649737484262,0.6497374842620047,0.0008121718553275059
